Name,Lat,Lon,Site ID,Type,Priority
CSG-DNLC30_IXR-E,16.057405,108.16911,DNLC30,CSG,1
CSG-DNLC32_IXR-E,16.0678,108.14736,DNLC32,CSG,1
CSG-DNLC36_IXR-E,16.07482,108.13389,DNLC36,CSG,1
CSG-DNLC40,16.07306,108.16601,DNLC40,CSG,1
CSG-DNLC99,16.074329,108.170791,DNLC99,CSG,1
CSG-DNNH02,16.00281,108.25906,DNNH02,CSG,1
CSG-DNNH06,16.02511,108.24957,DNNH06,CSG,1
CSG-DNNH11_IXR-E,16.04248,108.24477,DNNH11,CSG,1
CSG-DNNH12,15.985639,108.239806,DNNH12,CSG,1
CSG-DNNH13,16.049,108.238444,DNNH13,CSG,1
CSG-DNNH15,15.981583,108.274639,DNNH15,CSG,1
CSG-DNNH17,16.02766,108.24499,DNNH17,CSG,1
CSG-DNNH18,15.99568,108.23896,DNNH18,CSG,1
CSG-DNNH19,16.05275,108.240333,DNNH19,CSG,1
CSG-DNNH21,16.047511,108.236615,DNNH21,CSG,1
CSG-DNNH23,15.98891,108.26952,DNNH23,CSG,1
CSG-DNNH24,15.98215,108.26955,DNNH24,CSG,1
CSG-DNNH25,15.982207,108.250315,DNNH25,CSG,1
CSG-DNNH26_IXR-E,16.01551,108.25593,DNNH26,CSG,1
CSG-DNNH27,16.040304,108.23807,DNNH27,CSG,1
CSG-DNNH30,15.9967,108.26281,DNNH30,CSG,1
CSG-DNNH33,16.02587,108.23964,DNNH33,CSG,1
CSG-DNNH38,16.01245,108.2547,DNNH38,CSG,1
CSG-DNNH58_IXR-E,16.01829,108.25356,DNNH58,CSG,1
CSG-DNNH59_IXR-E,16.04242,108.24671,DNNH59,CSG,1
CSG-DNNH94,16.052179,108.244469,DNNH94,CSG,1
CSG-DNST01_IXR-E,16.080406,108.235926,DNST01,CSG,1
CSG-DNST02_IXR-E,16.05755,108.23619,DNST02,CSG,1
CSG-DNST04_IXR-E,16.099085,108.246097,DNST04,CSG,1
CSG-DNST06_IXR-E,16.069646,108.233555,DNST06,CSG,1
CSG-DNST10,16.07178,108.24005,DNST73,CSG,1
CSG-DNST12,16.082181,108.23012,DNST12,CSG,1
CSG-DNST15,16.07939,108.24348,DNST15,CSG,1
CSG-DNST16,16.0879,108.23986,DNST16,CSG,1
CSG-DNST17_IXR-E,16.10443,108.2613,DNST17,CSG,1
CSG-DNST18,16.094028,108.251083,DNST18,CSG,1
CSG-DNST19_IXR-E,16.09481,108.23317,DNST19,CSG,1
CSG-DNST20,16.08529,108.23405,DNST20,CSG,1
CSG-DNST25,16.06104,108.24428,DNST25,CSG,1
CSG-DNST26_IXR-E,16.121195,108.218796,DNST26,CSG,1
CSG-DNST28_IXR-E,16.05768,108.24085,DNST28,CSG,1
CSG-DNST31,16.09238,108.23641,DNST31,CSG,1
CSG-DNST32_IXR-E,16.099601,108.231657,DNST32,CSG,1
CSG-DNST34_IXR-E,16.05625,108.23469,DNST34,CSG,1
CSG-DNST37_IXR-E,16.076731,108.233411,DNST37,CSG,1
CSG-DNST39,16.08164,108.234,DNST39,CSG,1
CSG-DNST40,16.0836,108.2397,DNST40,CSG,1
CSG-DNST41,16.07609,108.24029,DNST41,CSG,1
CSG-DNST42,16.08566,108.23013,DNST42,CSG,1
CSG-DNST43,16.08579,108.24496,DNST43,CSG,1
CSG-DNST47,16.06756,108.24014,DNST47,CSG,1
CSG-DNST50,16.093069,108.227495,DNST50,CSG,1
CSG-DNST71_IXR-E,16.09782,108.24995,DNST71,CSG,1
CSG-DNST73,16.07178,108.24005,DNST73,CSG,1
CSG-DNST87,16.06757,108.24173,DNST87,CSG,1
CSG-DNTK01_IXR-E,16.05868,108.2069,DNTK01,CSG,1
CSG-DNTK02_IXR-E,16.03683,108.18905,DNTK02,CSG,1
CSG-DNTK04_IXR-E,16.05621,108.21259,DNTK04,CSG,1
CSG-DNTK05,16.07057,108.20532,DNTK05,CSG,1
CSG-DNTK08_IXR-E,16.053417,108.182278,DNTK08,CSG,1
CSG-DNTK10_IXR-E,16.07129,108.18794,DNTK10,CSG,1
CSG-DNTK12,16.07002,108.21181,DNTK12,CSG,1
CSG-DNTK13_IXR-E,16.071265,108.200369,DNTK13,CSG,1
CSG-DNTK14_IXR-E,16.06531,108.20105,DNTK14,CSG,1
CSG-DNTK16_IXR-E,16.04685,108.18472,DNTK16,CSG,1
CSG-DNTK17,16.06821,108.21302,DNTK17,CSG,1
CSG-DNTK18,16.062934,108.169783,DNLC1A,CSG,1
CSG-DNTK22,16.074329,108.170791,DNLC99,CSG,1
CSG-DNTK23,16.06843,108.19952,DNTK23,CSG,1
CSG-DNTK26_IXR-E,16.05043,108.18414,DNTK26,CSG,1
CSG-DNTK27_IXR-E,16.057,108.210139,DNTK27,CSG,1
CSG-DNTK31,16.07298,108.17773,DNTK31,CSG,1
CSG-DNTK34_IXR-E,16.05556,108.18676,DNTK34,CSG,1
CSG-DNTK36_IXR-E,16.06404,108.18288,DNTK36,CSG,1
CSG-DNTK41,16.0673,108.20425,DNTK41,CSG,1
CSG-DNTK45,16.06447,108.20682,DNTK45,CSG,1
CSG-DNTK46,16.06104,108.21367,DNTK46,CSG,1
CSG-QTCL02,16.74525,106.9641,QTCL02,CSG,1
CSG-QTCL03,16.7874,106.91548,QTCL03,CSG,1
CSG-QTCL06,16.74963,106.92699,QTCL06,CSG,1
CSG-QTCL08,16.82654,107.00301,QTCL08,CSG,1
CSG-QTCL09,16.79332,106.96828,QTCL09,CSG,1
CSG-QTCL12,16.84258,107.0819,QTCL12,CSG,1
CSG-QTCL13,16.80421,107.04357,QTCL13,CSG,1
CSG-QTCL18,16.82524,106.98037,QTCL18,CSG,1
CSG-QTCL34,16.8097,107.00179,QTCL34,CSG,1
CSG-QTDH04,16.79761,107.083631,QTDH04,CSG,1
CSG-QTDH05,16.81154,107.09687,QTDH05,CSG,1
CSG-QTDH07,16.817106,107.087282,QTDH07,CSG,1
CSG-QTDH08,16.80622,107.10414,QTDH08,CSG,1
CSG-QTDH09,16.81988,107.090958,QTDH09,CSG,1
CSG-QTDH10,16.81659,107.07734,QTDH10,CSG,1
CSG-QTDH12,16.82048,107.1047,QTDH12,CSG,1
CSG-QTDH14,16.79907,107.12945,QTDH14,CSG,1
