Name,Lat,Lon,SiteID
CSG-DNNH30,15.996700,108.262810,DNNH30
CSG-DNNH33,16.025870,108.239640,DNNH33
CSG-DNNH38,16.012450,108.254700,DNNH38
CSG-DNNH58_IXR-E,16.018290,108.253560,DNNH58
CSG-DNNH59_IXR-E,16.042420,108.246710,DNNH59
CSG-DNNH94,16.052179,108.244469,DNNH94
CSG-DNST01_IXR-E,16.080406,108.235926,DNST01
CSG-DNST02_IXR-E,16.057550,108.236190,DNST02
CSG-DNST04_IXR-E,16.099085,108.246097,DNST04
CSG-DNST06_IXR-E,16.069646,108.233555,DNST06
CSG-DNST10,16.071780,108.240050,DNST73
CSG-DNST12,16.082181,108.230120,DNST12
CSG-DNST15,16.079390,108.243480,DNST15
CSG-DNST16,16.087900,108.239860,DNST16
CSG-DNST17_IXR-E,16.104430,108.261300,DNST17
CSG-DNST18,16.094028,108.251083,DNST18
CSG-DNST19_IXR-E,16.094810,108.233170,DNST19
CSG-DNST20,16.085290,108.234050,DNST20
CSG-DNST25,16.061040,108.244280,DNST25
CSG-DNST26_IXR-E,16.121195,108.218796,DNST26
CSG-DNST28_IXR-E,16.057680,108.240850,DNST28
CSG-DNST31,16.092380,108.236410,DNST31
CSG-DNST32_IXR-E,16.099601,108.231657,DNST32
CSG-DNST34_IXR-E,16.056250,108.234690,DNST34
CSG-DNST37_IXR-E,16.076731,108.233411,DNST37
CSG-DNST39,16.081640,108.234000,DNST39
CSG-DNST40,16.083600,108.239700,DNST40
CSG-DNST41,16.076090,108.240290,DNST41
CSG-DNST42,16.085660,108.230130,DNST42
CSG-DNST43,16.085790,108.244960,DNST43
CSG-DNST47,16.067560,108.240140,DNST47
CSG-DNST50,16.093069,108.227495,DNST50
CSG-DNST71_IXR-E,16.097820,108.249950,DNST71
CSG-DNST73,16.071780,108.240050,DNST73
CSG-DNST87,16.067570,108.241730,DNST87
CSG-DNTK01_IXR-E,16.058680,108.206900,DNTK01
CSG-DNTK02_IXR-E,16.036830,108.189050,DNTK02
CSG-DNTK04_IXR-E,16.056210,108.212590,DNTK04
CSG-DNTK05,16.070570,108.205320,DNTK05
CSG-DNTK08_IXR-E,16.053417,108.182278,DNTK08
CSG-DNTK10_IXR-E,16.071290,108.187940,DNTK10
CSG-DNTK12,16.070020,108.211810,DNTK12
CSG-DNTK13_IXR-E,16.071265,108.200369,DNTK13
CSG-DNTK14_IXR-E,16.065310,108.201050,DNTK14
CSG-DNTK16_IXR-E,16.046850,108.184720,DNTK16
CSG-DNTK17,16.068210,108.213020,DNTK17
CSG-DNTK18,16.062934,108.169783,DNLC1A
CSG-DNTK22,16.074329,108.170791,DNLC99
CSG-DNTK23,16.068430,108.199520,DNTK23
CSG-DNTK26_IXR-E,16.050430,108.184140,DNTK26
CSG-DNTK27_IXR-E,16.057000,108.210139,DNTK27
CSG-DNTK31,16.072980,108.177730,DNTK31
CSG-DNTK34_IXR-E,16.055560,108.186760,DNTK34
CSG-DNTK36_IXR-E,16.064040,108.182880,DNTK36
CSG-DNTK41,16.067300,108.204250,DNTK41
CSG-DNTK45,16.064470,108.206820,DNTK45
CSG-DNTK46,16.061040,108.213670,DNTK46
CSG-QTCL02,16.745250,106.964100,QTCL02
CSG-QTCL03,16.787400,106.915480,QTCL03
