BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
"Quảng Nam#Phòng#Đội CSĐT (X. Duy Nghĩa, Duy Xuyên)",15.85362,108.3609,QADX35,15.83046,108.37688,AGG,1,,4.2587,Success
Quảng Ngãi#Phòng ban#PC07,15.12796,108.7873,QNQN08,15.12934,108.78553,CSG,2,,0.3118,Success
Quảng Ngãi#Phòng ban#Sơn Tịnh,15.15466,108.7366,QNST07,15.156694,108.753965,CSG,2,,2.5098,Success
Quảng Ngãi#Phòng ban#PC01,15.121,108.7921,QNQN06,15.11804,108.79231,CSG,2,,0.3276,Success
Quảng Ngãi#Phòng ban#CS113,15.1186,108.8064,QNQN16,15.12044,108.80544,CSG,2,,0.2286,Success
Quảng Ngãi#Phòng ban#PK02,15.12264,108.8169,QNQN22,15.118394,108.829897,CSG,2,,1.7359,Success
Quảng Ngãi#Phòng ban#Khối Cảnh sát,15.121,108.7921,QNQN06,15.11804,108.79231,CSG,2,,0.3276,Success
Quảng Ngãi#Phòng ban#K02 (D3/E23),15.33689,108.8419,QNBS03,15.338387,108.853323,CSG,2,,1.9862,Success
Quảng Ngãi#Phòng ban#PC08,15.10006,108.8068,QNQN25,15.09759,108.81506,CSG,2,,1.056,Success
Quảng Ngãi#Phòng ban#PA03,15.12074,108.7989,QNQN31,15.12628,108.79764,CSG,2,,0.6506,Success
Quảng Ngãi#Phòng ban#PC03,15.12274,108.8181,QNQN22,15.118394,108.829897,CSG,2,,1.5913,Success
Quảng Ngãi#Phòng ban#PC10,15.14859,108.7971,QNQN82,15.15044,108.79672,CSG,2,,0.3155,Success
Quảng Ngãi#Phòng ban#PA06,15.12939,108.7892,QNQN08,15.12934,108.78553,CSG,2,,0.6173,Success
"Quảng Ngãi#Phòng ban#PC11 (X. Nghĩa Kỳ, H. Tư Nghĩa)",15.11711,108.7462,QNTN66,15.11706,108.740035,CSG,2,,1.5425,Success
"Quảng Ngãi#Phòng ban#Cơ sở cai nghiện (X. Nghĩa Kỳ, H. Tư Nghĩa)",15.11671,108.7474,QNTN26,15.11727,108.75462,CSG,2,,1.3783,Success
Quảng Ngãi#Phòng ban#TTCMKV Tư Nghĩa,15.08352,108.8265,QNTN_Newsite1,15.0895363,108.8279395,AGG,1,,0.9408,Success
Kon Tum#Phòng ban#PC06,14.35389,108.0067,KTKT48,14.35,108.006,CSG,2,,0.4892,Success
Kon Tum#Phòng ban#PA06,14.35611,108.003,KTKT44,14.357944,108.003443,CSG,2,,0.2088,Success
Kon Tum#Phòng ban#PC07,14.36348,107.9988,KTKT10,14.36515,108.00004,CSG,2,,0.5169,Success
"Kon Tum#Phòng ban#Khối CS (PC01, PC02, PC03, PC04)",14.38014,107.9868,KTKT33,14.37196,107.98927,CSG,2,,1.1805,Success
Kon Tum#Phòng ban#PC08,14.36945,108.0085,KTKT30,14.36501,108.00809,CSG,2,,0.5551,Success
Kon Tum#Phòng ban#PC11,14.48789,107.9599,KTDH18,14.50071,107.9545,CSG,2,,2.1341,Success
Kon Tum#Phòng ban#PK02/PX03,14.37695,108.0199,KTKT50,14.37033,108.0201,CSG,2,,0.8019,Success
Kon Tum#Phòng ban#PA05/PC10/PX05/PX06,14.34967,108.0075,KTKT48,14.35,108.006,CSG,2,,0.1658,Success
Kon Tum#Phòng ban#PC09,14.37054,108.0073,KTKT30,14.36501,108.00809,CSG,2,,0.8427,Success
Kon Tum#Phòng ban#PH10,14.35304,108.0101,KTKT57,14.3491,108.01327,CSG,2,,0.7584,Success
Bình Định#Phòng#PX05,13.77005,109.2322,BDQN98,13.77057,109.23167,CSG,2,,0.1902,Success
Bình Định#Phòng#Khối CQ CSĐT,13.75707,109.2124,BDQN23,13.760712,109.215399,CSG,2,,0.6635,Success
Bình Định#Phòng#PA07 cũ,13.77738,109.2299,BDQN51,13.77620115,109.2354762,CSG,2,,0.6755,Success
Bình Định#Phòng#PC06,13.772,109.227,BDQN90,13.767781,109.223002,CSG,2,,0.8099,Success
Bình Định#Phòng#PC07,13.76858,109.2239,BDQN90,13.767781,109.223002,CSG,2,,0.1603,Success
Bình Định#Phòng#PK02,13.77064,109.2256,BDQN90,13.767781,109.223002,CSG,2,,0.4466,Success
Bình Định#Phòng#PC08,13.7951,109.1577,BDQN58,13.794076,109.154071,CSG,2,,0.4952,Success
Bình Định#Phòng#PC11B,13.74903,109.1627,BDQN63,13.748088,109.152633,CSG,2,,2.4378,Success
Bình Định#Phòng#K02 (E23),13.74405,109.1635,BDQN63,13.748088,109.152633,CSG,2,,1.7678,Success
