Tuyến cáp,lat1,lon1,lat2,lon2,Desc
Huế#TTCMKV#CAT TT Huế mới-HUPV09,16.47699,107.6256,16.48118,107.68446,HUPV08-HUPV09
Huế#TTCMKV#CAT TT Huế mới-HUHTMA01,16.47699,107.6256,16.41168,107.67333,HUPV08-HUHTMA01
Huế#TTCMKV#CAT TT Huế mới-HUPV01,16.47699,107.6256,16.54695,107.63797,HUPV01-HUPV08
Quảng Nam#TTCMKV#Hội An-QAHA03,15.88074,108.3319,15.87225,108.33853,QAHA03-QAHA06
Quảng Nam#TTCMKV#Hội An-QAHA32,15.88074,108.3319,15.90198,108.31081,QAHA32-QAHA06
Quảng Nam#TTCMKV#Hội An-QAHA27,15.88074,108.3319,15.881811,108.327432,QAHA06-QAHA27
Quảng Nam#TTCMKV#Thăng Bình-Quảng Nam#CAX#Quế Sơn Trung,15.73582,108.3517,15.73686,108.2884,QAQS10-QATB_newsite 2
Quảng Nam#TTCMKV#Thăng Bình-QAQS03,15.73582,108.3517,15.71113,108.26722,QAQS03-QATB_newsite 2
Quảng Nam#TTCMKV#Thăng Bình-QAQS19,15.73582,108.3517,15.76923,108.32967,QAQS19-QATB_newsite 2
Quảng Nam#CAX#Thăng Trường-QANT04,15.65096,108.4856,15.58422,108.55311,QANT04-QATB35
Quảng Nam#CAX#Thăng Trường-QATB32,15.65096,108.4856,15.718,108.46406,QATB35-QATB32
Quảng Nam#CAX#Thăng Trường-QATK39,15.65096,108.4856,15.565,108.4933,QATB35-QATK39
Quảng Nam#CAX#Thăng Trường-QADX35,15.65096,108.4856,15.83046,108.37688,QADX35-QATB35
Quảng Nam#CAX#Thăng Trường-QATK39,15.65096,108.4856,15.565,108.4933,QATB35-QATK39
Quảng Nam#CAX#Thăng Trường-QATB03,15.65096,108.4856,15.77736,108.42229,QATB03-QATB35
"Quảng Nam#CAX#Thăng Điền-Quảng Nam#Phòng#Trạm CSGT Thăng Bình (X. Bình Phục, Thăng Bình)",15.64444,108.4255,15.72009,108.3759,QATB14-QATB31
Quảng Nam#CAX#Thăng Điền-QATK43,15.64444,108.4255,15.58715,108.47165,QATB31-QATK43
Quảng Nam#CAX#Thăng Điền-QAQS05,15.64444,108.4255,15.78838,108.32133,QATB31-QAQS05
Quảng Nam#CAX#Thăng Điền-Quảng Nam#TTCMKV#TT2 Tam Kỳ,15.64444,108.4255,15.57447,108.4746,QATK71-QATB31
Quảng Nam#TTCMKV#TT2 Tam Kỳ-Quảng Nam#CAX#Thăng Phú,15.57447,108.4746,15.6326,108.3741,QATB34-QATK71
Quảng Nam#TTCMKV#TT2 Tam Kỳ-QAPN26,15.57447,108.4746,15.62196,108.43964,QAPN26-QATK71
Quảng Nam#TTCMKV#TT2 Tam Kỳ-QATK43,15.57447,108.4746,15.58715,108.47165,QATK43-QATK71
Quảng Nam#TTCMKV#TT2 Tam Kỳ-Quảng Nam#Phòng#PA06,15.57447,108.4746,15.58103,108.4692,QATK71-QATK37
Quảng Nam#TTCMKV#TT2 Tam Kỳ-QATK24,15.57447,108.4746,15.56684,108.47923,QATK71-QATK24
Quảng Nam#TTCMKV#TT2 Tam Kỳ-Quảng Nam#Phòng#PC11,15.57447,108.4746,15.55858,108.45,QATK71-QATK22
Quảng Nam#TTCMKV#TT2 Tam Kỳ-Quảng Nam#Phòng#PK02,15.57447,108.4746,15.58243,108.4643,QATK71-QATK15
Quảng Nam#TTCMKV#TT2 Tam Kỳ-Quảng Nam#Phòng#PC07,15.57447,108.4746,15.57504,108.4772,QATK71-QATK18
Quảng Nam#TTCMKV#TT2 Tam Kỳ-Quảng Nam#CAX#Thăng Điền,15.57447,108.4746,15.64444,108.4255,QATK71-QATB31
Bình Định#CAX#Phù Cát-Bình Định#CAX#Hòa Hội,13.9825,109.0617,14.069138,109.045012,BDPC01-BDPC03
Bình Định#CAX#Phù Cát-BDPC08,13.9825,109.0617,13.9814,109.0939,BDPC03-BDPC08
Bình Định#CAX#Quy Nhơn Nam-BDQN_newsite1,13.75546,109.207434,13.744281,109.209951,BDQN31-BDQN_newsite1
Bình Định#CAX#Quy Nhơn Nam-Bình Định#Phòng#Khối CQ CSĐT,13.75546,109.207434,13.75707,109.2124,BDQN31-BDQN23
Bình Định#CAX#Quy Nhơn Nam-BDQN33,13.75546,109.207434,13.762723,109.209894,BDQN31-BDQN33
Bình Định#CAX#Quy Nhơn Nam-BDQN80,13.75546,109.207434,13.76949,109.19146,BDQN31-BDQN80
Bình Định#CAX#Quy Nhơn Nam-Bình Định#Phòng#PC08,13.75546,109.207434,13.7951,109.1577,BDQN31-BDQN58
Bình Định#TTCMKV#TT1 Gia Lai-BDQN39,13.76939,109.2255,13.78153,109.228,BDQN39-BDQNMA01
Bình Định#TTCMKV#TT1 Gia Lai-BDQN91,13.76939,109.2255,13.77927,109.23581,BDQN91-BDQNMA01
Bình Định#TTCMKV#TT1 Gia Lai-Bình Định#Phòng#PC06,13.76939,109.2255,13.772,109.227,BDQN62-BDQNMA01
Bình Định#TTCMKV#TT1 Gia Lai-BDQN16,13.76939,109.2255,13.78948,109.19601,BDQN16-BDQNMA01
Bình Định#TTCMKV#TT1 Gia Lai-BDQN75,13.76939,109.2255,13.78456472,109.2196069,BDQN75-BDQNMA01
Bình Định#CAX#Tuy Phước Đông-BDPC23,13.866592,109.188108,13.92076,109.21033,BDPC23-BDTP04
Bình Định#CAX#Tuy Phước Đông-BDPC06,13.866592,109.188108,14.0124,109.241,BDPC06-BDTP04
Bình Định#CAX#Tuy Phước Đông-BDTP10,13.866592,109.188108,13.84043,109.19265,BDTP10-BDTP04
Quảng Ngãi#TTCMKV#Bình Sơn-QNST02,15.29712,108.7621,15.20067,108.79055,QNST02-QNBS23
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS26,15.29712,108.7621,15.30152,108.82293,QNBS23-QNBS26
Quảng Ngãi#TTCMKV#Bình Sơn-Quảng Ngãi#CAX#Bình Chương,15.29712,108.7621,15.27299,108.7215,QNBS28-QNBS23
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS15,15.29712,108.7621,15.28448,108.74049,QNBS15-QNBS23
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS25,15.29712,108.7621,15.274461,108.770897,QNBS25-QNBS23
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS07,15.29712,108.7621,15.32259,108.76814,QNBS23-QNBS07
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS16,15.29712,108.7621,15.29159,108.79627,QNBS23-QNBS16
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS54,15.29712,108.7621,15.31067,108.75268,QNBS23-QNBS54
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS52,15.29712,108.7621,15.299702,108.752375,QNBS23-QNBS52
Quảng Ngãi#TTCMKV#Bình Sơn-Quảng Ngãi#CAX#Vạn Tường,15.29712,108.7621,15.33626,108.8415,QNBS23-QNBS03
Quảng Ngãi#TTCMKV#Bình Sơn-QNBS26,15.29712,108.7621,15.30152,108.82293,QNBS23-QNBS26
Quảng Ngãi#CAX#Mộ Đức-Quảng Ngãi#CAX#Nghĩa Hành,14.94789,108.8879,15.04397,108.7766,QNNH21-QNMD25
Quảng Ngãi#CAX#Mộ Đức-QNTN05,14.94789,108.8879,15.05898,108.84332,QNMD25-QNTN05
Quảng Ngãi#CAX#Mộ Đức-QNMD05,14.94789,108.8879,14.92405,108.89965,QNMD25-QNMD05
Quảng Ngãi#CAX#Mộ Đức-QNMD12,14.94789,108.8879,14.94605,108.86027,QNMD12-QNMD25
Quảng Ngãi#CAX#Mộ Đức-QNMD19,14.94789,108.8879,14.90552,108.91163,QNMD19-QNMD25
Quảng Ngãi#CAX#Mộ Đức-QNNH03,14.94789,108.8879,14.98693,108.83602,QNMD25-QNNH03
Quảng Ngãi#CAX#Mộ Đức-QNMD10,14.94789,108.8879,15.01246,108.87124,QNMD25-QNMD10
Quảng Ngãi#CAX#Mộ Đức-Quảng Ngãi#CAX#Lân Phong,14.94789,108.8879,14.92761,108.9179,QNMD25-QNMD24
Quảng Ngãi#CAX#Mộ Đức-QNNH03,14.94789,108.8879,14.98693,108.83602,QNMD25-QNNH03
Quảng Ngãi#CAX#Mộ Đức-QNTN05,14.94789,108.8879,15.05898,108.84332,QNMD25-QNTN05
Quảng Ngãi#CAX#Nghĩa Hành-QNQN02,15.04397,108.7766,15.121807,108.768932,QNQN02-QNNH21
Quảng Ngãi#CAX#Nghĩa Hành-Quảng Ngãi#CAX#Mộ Đức,15.04397,108.7766,14.94789,108.8879,QNNH21-QNMD25
Quảng Ngãi#CAX#Nghĩa Hành-Quảng Ngãi#CAX#Phước Giang,15.04397,108.7766,15.04567,108.7422,QNNH21-QNNH05
Quảng Ngãi#CAX#Nghĩa Hành-QNMD02,15.04397,108.7766,14.885983,108.918403,QNNH21-QNMD02
Quảng Ngãi#CAX#Nghĩa Hành-QNNH16,15.04397,108.7766,15.04128,108.79722,QNNH21-QNNH16
Quảng Ngãi#CAX#Nghĩa Hành-QNNH04,15.04397,108.7766,15.07944,108.77991,QNNH04-QNNH21
Quảng Ngãi#CAX#Nghĩa Hành-QNTN10,15.04397,108.7766,15.094146,108.75043,QNTN10-QNNH21
Quảng Ngãi#CAX#Nghĩa Hành-QNTN43,15.04397,108.7766,15.110232,108.719926,QNTN43-QNNH21
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi-QNBS26,15.121,108.7921,15.30152,108.82293,QNBS26-QNQN2J
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi-QNQN78,15.121,108.7921,15.187291,108.885475,QNQN78-QNQN2J
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi-QNTN05,15.121,108.7921,15.05898,108.84332,QNTN05-QNQN2J
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi-Quảng Ngãi#Phòng ban#khối phòng CAT KV P.NL,15.121,108.7921,15.12811,108.7955,QNQN31-QNQN2J
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi-QNQN21,15.121,108.7921,15.125751,108.793376,QNQN21-QNQN2J
Quảng Ngãi#TTCMKV#TT1 Quảng Ngãi-QNQN99,15.121,108.7921,15.14203,108.79972,QNQN99-QNQN2J
Quảng Ngãi#Phòng ban#TTCMKV Tư Nghĩa-QNQN26,15.08352,108.8265,15.11033,108.84444,QNQN26-QNTN_newsite1
Quảng Ngãi#Phòng ban#TTCMKV Tư Nghĩa-QNTN13,15.08352,108.8265,15.07724,108.83239,QNTN13-QNTN_newsite1
Quảng Ngãi#Phòng ban#TTCMKV Tư Nghĩa-Quảng Ngãi#CAX#Tư Nghĩa,15.08352,108.8265,15.09092,108.8218,QNTN39-QNTN_newsite1
Khánh Hòa#TTCMKV#Cam Lâm-Khánh Hòa#Phòng#PC11a,12.07444,109.1681,12.1757,109.1737,KHNTMA01-KHCLMA01
Khánh Hòa#TTCMKV#Cam Lâm-KHCL17,12.07444,109.1681,12.11886,109.1134173,KHCLMA01-KHCL17
Khánh Hòa#TTCMKV#Cam Lâm-Khánh Hòa#Phòng#Cảng HKQT Cam Ranh,12.07444,109.1681,11.99821,109.2188,KHCLMA01-KHCR10
Khánh Hòa#TTCMKV#Cam Ranh-KHCL03,11.92552,109.1637,11.99699,109.12421,KHCR52-KHCL03
Khánh Hòa#TTCMKV#Cam Ranh-KHCR49,11.92552,109.1637,11.91870901,109.145014,KHCR52-KHCR49
Khánh Hòa#TTCMKV#Cam Ranh-KHCR14,11.92552,109.1637,11.90960356,109.1272345,KHCR52-KHCR14
Khánh Hòa#TTCMKV#Cam Ranh-Khánh Hòa#CAX#Cam Linh,11.92552,109.1637,11.90677,109.1464,KHCR52-KHCR18
Khánh Hòa#TTCMKV#Cam Ranh-KHCR50,11.92552,109.1637,11.9188041,109.1602275,KHCR50-KHCR52
Khánh Hòa#CAX#Bắc Cam Ranh-KHCL18,11.9756,109.1961,12.0299,109.1773,KHCR02-KHCL18
Khánh Hòa#CAX#Bắc Cam Ranh-KHCR53,11.9756,109.1961,11.94227001,109.17915,KHCR02-KHCR53
Khánh Hòa#CAX#Bắc Cam Ranh-Khánh Hòa#Phòng#Cảng HKQT Cam Ranh,11.9756,109.1961,11.99821,109.2188,KHCR10-KHCR02
Khánh Hòa#TTCMKV#Diên Khánh-KHDK15,12.2563,109.0941,12.27,109.0894,KHDKMA01-KHDK15
Khánh Hòa#TTCMKV#Diên Khánh-KHNT1M,12.2563,109.0941,12.25462701,109.137053,KHDKMA01-KHNT1M
Khánh Hòa#TTCMKV#Diên Khánh-Khánh Hòa#Phòng#Nhà tạm giam Diên Khánh,12.2563,109.0941,12.24635,109.0729,KHDKMA01-KHDK13
Khánh Hòa#TTCMKV#Diên Khánh-KHNT62,12.2563,109.0941,12.26788503,109.1721217,KHDKMA01-KHNT62
Khánh Hòa#TTCMKV#Diên Khánh-Khánh Hòa#CAX#Diên Điền,12.2563,109.0941,12.27603,109.1203,KHDKMA01-KHDK08
Khánh Hòa#TTCMKV#Diên Khánh-KHCL23,12.2563,109.0941,12.1537068,109.0672539,KHCL23-KHDKMA01
Khánh Hòa#CAX#Diên Lâm-KHDK37,12.26904,109.0334,12.30831901,108.997223,KHDK37-KHDK25
Khánh Hòa#CAX#Diên Lâm-KHDK12,12.26904,109.0334,12.209992,109.042219,KHDK12-KHDK25
Khánh Hòa#CAX#Diên Lâm-Khánh Hòa#CAX#Suối Hiệp,12.26904,109.0334,12.22102,109.0838,KHDK06-KHDK25
Khánh Hòa#CAX#Suối Hiệp-Khánh Hòa#Phòng#Nhà tạm giam Diên Khánh,12.22102,109.0838,12.24635,109.0729,KHDK13-KHDK06
Khánh Hòa#CAX#Suối Hiệp-KHCL23,12.22102,109.0838,12.1537068,109.0672539,KHDK06-KHCL23
Khánh Hòa#CAX#Suối Hiệp-Khánh Hòa#CAX#Diên Lâm,12.22102,109.0838,12.26904,109.0334,KHDK06-KHDK25
Khánh Hòa#CAX#Suối Hiệp-Khánh Hòa#Phòng#PC11a,12.22102,109.0838,12.1757,109.1737,KHNTMA01-KHDK06
Khánh Hòa#TTCMKV#CAT Khánh Hòa-Khánh Hòa#Phòng#CATP Nha trang cũ,12.23211,109.1958,12.24647,109.1894,KHNT83-KHNT24
Khánh Hòa#TTCMKV#CAT Khánh Hòa-Khánh Hòa#Phòng#PC08 (xử lý vi phạm),12.23211,109.1958,12.24807,109.1858,KHNT60-KHNT24
Khánh Hòa#TTCMKV#CAT Khánh Hòa-KHNT28,12.23211,109.1958,12.26617101,109.19621,KHNT28-KHNT24
Khánh Hòa#TTCMKV#CAT Khánh Hòa-Khánh Hòa#CAX#Tây Nha Trang,12.23211,109.1958,12.25114,109.1864,KHNT17-KHNT24
Khánh Hòa#Phòng#PC11a-KHNT59,12.1757,109.1737,12.2108712,109.1887008,KHNTMA01-KHNT59
Khánh Hòa#Phòng#PC11a-KHNT1F,12.1757,109.1737,12.1996477,109.1942289,KHNTMA01-KHNT1F
Khánh Hòa#Phòng#PC11a-KHNT26,12.1757,109.1737,12.22520174,109.1833831,KHNTMA01-KHNT26
Khánh Hòa#Phòng#PC11a-Khánh Hòa#CAX#Suối Hiệp,12.1757,109.1737,12.22102,109.0838,KHNTMA01-KHDK06
Khánh Hòa#Phòng#PC11a-Khánh Hòa#TTCMKV#Cam Lâm,12.1757,109.1737,12.07444,109.1681,KHNTMA01-KHCLMA01
Phú Yên#TTCMKV#Đồng Xuân-Phú Yên#CAX#Tuy An Bắc,13.3773,109.1081,13.308276,109.215649,PYTA14-PYDX01
Phú Yên#TTCMKV#Đồng Xuân-PYSA09,13.3773,109.1081,13.2048,109.0634,PYDX01-PYSA09
Phú Yên#TTCMKV#Đồng Xuân-PYDX04,13.3773,109.1081,13.39901,109.1053,PYDX04-PYDX01
Phú Yên#TTCMKV#Đồng Xuân-PYDX25,13.3773,109.1081,13.364473,109.125588,PYDX25-PYDX01
Phú Yên#TTCMKV#Đồng Xuân-PYTA11,13.3773,109.1081,13.250362,109.118627,PYTA11-PYDX01
Phú Yên#TTCMKV#Đồng Xuân-PYDX20,13.3773,109.1081,13.3725216,109.0860598,PYDX01-PYDX20
Phú Yên#TTCMKV#Phú Hòa-PYSA10,13.0231,109.207,13.06365,109.02528,PYSA10-PYPH04
Phú Yên#TTCMKV#Phú Hòa-Phú Yên#TTCMKV#TT2 Tuy Hòa,13.0231,109.207,13.09474,109.293,PYPH04-PYPY01
Phú Yên#TTCMKV#Phú Hòa-PYPH26,13.0231,109.207,13.010007,109.161929,PYPH26-PYPH04
Phú Yên#TTCMKV#Phú Hòa-PYPH09,13.0231,109.207,13.05668,109.19698,PYPH04-PYPH09
Phú Yên#TTCMKV#Phú Hòa-Phú Yên#CAX#Phú Hòa 2,13.0231,109.207,13.082015,109.216297,PYPH04-PYPH03
Phú Yên#TTCMKV#Phú Hòa-PYPH02,13.0231,109.207,13.056406,109.245334,PYPH04-PYPH02
Phú Yên#TTCMKV#Phú Hòa-PYPH08,13.0231,109.207,13.024902,109.219833,PYPH04-PYPH08
