BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Kon Tum#TTCMKV#CAX Đăk Kôi (Kon Rẫy),14.53716,108.1755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Kon Tum#TTCMKV#Tu Mơ Rông,14.81661,107.9456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Kon Tum#TTCMKV#Đăk Tô,14.65984,107.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Bình Định#TTCMKV#TT1 Gia Lai,13.76939,109.2255,BDQNMA01,13.784365,109.214922,AGG,1,,2.6431,Success
Bình Định#TTCMKV#Cát Tiến,13.94878,109.2362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Bình Định#TTCMKV#Phù Mỹ,14.16886,109.0487,BDPM27,14.17696,109.04533,AGG,1,,1.667,Success
Bình Định#TTCMKV#Hoài Ân,14.36452,108.9684,BDHN33,14.42824,109.01024,AGG,1,,11.767299999999999,Success
Bình Định#TTCMKV#Vĩnh Kim,14.33585,108.7527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Bình Định#TTCMKV#Vĩnh Thạnh,14.10667,108.7864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Bình Định#TTCMKV#Tây Sơn,13.90838,108.9165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Bình Định#TTCMKV#An Nhơn,13.88684,109.1105,BDANMA02,13.91304,109.09734,AGG,1,,4.0758,Success
Bình Định#TTCMKV#Vân Canh,13.6227,108.9974,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#TT2 Gia Lai,13.97629,107.9924,GLPK65,13.975834,108.00695,AGG,1,,1.9672,Success
Gia Lai#TTCMKV#IA Grai,13.9614,107.8535,GLIG09,13.97613,107.88251,AGG,1,,4.0342,Success
Gia Lai#TTCMKV#Đức Cơ,13.79392,107.6721,GLDC07,13.7762834,107.5964557,AGG,1,,9.2136,Success
Gia Lai#TTCMKV#Chư Prông,13.75394,107.8899,GLCR11,13.7364332,107.956106,AGG,1,,10.8031,Success
Gia Lai#TTCMKV#Chư Pưh,13.54633,108.1052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#Hàm Rồng,13.88617,108.0142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#Chư Sê,13.69211,108.0804,GLCS33,13.6766076,108.0870641,AGG,1,,2.2433,Success
Gia Lai#TTCMKV#Phú Thiện,13.51972,108.312,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#IA Pa,13.51174,108.4632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#Kông Chro,13.77844,108.5287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#An Khê,13.95356,108.6551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Gia Lai#TTCMKV#Đắk Pơ,13.96792,108.5461,GLDP07,13.96895,108.48206,AGG,1,,8.240200000000002,Success
Gia Lai#TTCMKV#Mang Yang,14.04351,108.2541,GLMY01,14.0416,108.25279,AGG,1,,0.3557,Success
Đăk Lăk#TTCMKV#TT1 Đăk Lăk,12.6843,108.0528,DLBT09,12.6882169,108.0558705,AGG,1,,1.1705,Success
Đăk Lăk#TTCMKV#Cư M'ga,12.822619,108.07808,DLCG07,12.781192,108.069675,AGG,1,,5.1655,Success
Đăk Lăk#TTCMKV#Buôn Hồ,12.916187,108.26651,DLBH15,12.912622,108.260605,AGG,1,,1.0743,Success
Đăk Lăk#TTCMKV#Ea H'Leo,13.21291,108.2031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#Ea Súp,13.07153,107.88617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#Buôn Đôn,12.80383,107.9027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#KRông Păk,12.709999,108.30444,DLKP01,12.715607,108.241525,AGG,1,,7.2314,Success
Đăk Lăk#TTCMKV#Trại giam Đăk Tân (C10),12.84253,108.6446,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#M' Đrăk,12.74985,108.7424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#Ea Kar,12.81206,108.4837,DLEK01,12.812267,108.446527,AGG,1,,4.3625,Success
Đăk Lăk#TTCMKV#KRông Năng,12.951746,108.34468,DLKN27,12.9595,108.34714,AGG,1,,1.0429000000000002,Success
Đăk Lăk#TTCMKV#KRông Ana,12.481563,108.03101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#Cư Kuin,12.55998,108.1639,DLCK11,12.562817,108.169683,AGG,1,,1.013,Success
Đăk Lăk#TTCMKV#Lăk,12.40811,108.1828,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Đăk Lăk#TTCMKV#KRông Bông,12.50488,108.3307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Phú Yên#TTCMKV#TT2 Tuy Hòa,13.09474,109.293,PYPY01,13.087012,109.307015,AGG,1,,2.6325,Success
Phú Yên#TTCMKV#Phú Hòa,13.0231,109.207,PYPH04,13.03798,109.21539,AGG,1,,3.4026,Success
Phú Yên#TTCMKV#Sông Hinh,12.97519,108.8997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Phú Yên#TTCMKV#Tây Hòa,13.0008,109.253,PYDH09,13.034347,109.297636,AGG,1,,6.9628000000000005,Success
Phú Yên#TTCMKV#Tuy Hòa,13.09474,109.293,PYPY01,13.087012,109.307015,AGG,1,,2.6325,Success
Phú Yên#TTCMKV#Sơn Hòa,13.04975,108.9789,PYSA10,13.06365,109.02528,AGG,1,,7.1945,Success
Phú Yên#TTCMKV#CAX Sơn Định (Sơn Hòa),13.0499,108.979,PYSA10,13.06365,109.02528,AGG,1,,7.1251999999999995,Success
Phú Yên#TTCMKV#Đồng Xuân,13.3773,109.1081,PYDX01,13.37768,109.104,AGG,1,,0.6494,Success
Phú Yên#TTCMKV#Sông Cầu,13.4532,109.2231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Khánh Hòa#TTCMKV#CAT Khánh Hòa,12.23211,109.1958,KHNT24,12.2522001,109.1937001,AGG,1,,2.7663,Success
Khánh Hòa#TTCMKV#Diên Khánh,12.2563,109.0941,KHDKMA01,12.2572477,109.1071688,AGG,1,,1.9116,Success
Khánh Hòa#TTCMKV#Khánh Vĩnh,12.28142,108.9056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Khánh Hòa#TTCMKV#Ninh Hòa,12.50973,109.1375,KHNH54,12.48609,109.12663,AGG,1,,4.697100000000001,Success
Khánh Hòa#TTCMKV#Vạn Ninh,12.69077,109.2209,KHVN04,12.70534,109.23683,AGG,1,,2.7901,Success
Khánh Hòa#TTCMKV#Cam Lâm,12.07444,109.1681,KHCLMA01,12.0797305,109.1809846,AGG,1,,1.8213,Success
Khánh Hòa#TTCMKV#Cam Ranh,11.92552,109.1637,KHCR52,11.91386,109.15332,AGG,1,,2.2564,Success
Ninh Thuận#TTCMKV#TT Phan Rang,11.58211,108.9728,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#TTCMKV#TT Phan Rang 2,11.58211,108.9728,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#TTCMKV#Ninh Phước,11.52846,108.9327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#TTCMKV#Thuận Bắc,11.71162,109.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#TTCMKV#Ninh Sơn,11.77645,108.7808,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Ninh Thuận#TTCMKV#Bác Ái,11.8405,108.904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
