Tuyến cáp                    , lat1       , lon1       , lat2       , lon2       , Desc,
GLCU12-GLCR11                ,13.59004,107.95822,13.7364332,107.956106," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLCU12-GLCR11 - CSG # 20","78 km"""
GLPK65-GLPK18                ,13.975834,108.00695,13.96026,108.00501," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLPK65-GLPK18 - CSG # 2","53 km"""
GLPK18-GLPK79                ,13.96026,108.00501,13.89914,108.0179," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLPK18-GLPK79 - CSG # 8","45 km"""
GLPK79-GLPK71                ,13.89914,108.0179,13.87287,107.97798," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLPK79-GLPK71 - CSG # 5","94 km"""
GLPK71-GLIG14                ,13.87287,107.97798,13.9146,107.92565," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLPK71-GLIG14 - CSG # 18","6 km"""
GLIG14-GLIG09                ,13.9146,107.92565,13.97613,107.88251," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLIG14-GLIG09 - CSG # 13","32 km"""
GLDC07-GLDC03                ,13.7762834,107.5964557,13.79748,107.64458," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDC07-GLDC03 - CSG # 5","85 km"""
GLDC03-GLDC06                ,13.79748,107.64458,13.90064,107.70822," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDC03-GLDC06 - CSG # 19","25 km"""
GLDC06-GLIG02                ,13.90064,107.70822,13.93512,107.78781," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDC06-GLIG02 - CSG # 13","52 km"""
GLIG02-GLIG09                ,13.93512,107.78781,13.97613,107.88251," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLIG02-GLIG09 - CSG # 12","5 km"""
GLDC07-GLIG24                ,13.7762834,107.5964557,13.938641,107.481644," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDC07-GLIG24 - CSG # 37","88 km"""
GLIG24-GLIG17                ,13.938641,107.481644,13.9657,107.59383," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLIG24-GLIG17 - CSG # 14","53 km"""
GLIG17-GLIG19                ,13.9657,107.59383,14.0134749,107.6404002," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLIG17-GLIG19 - CSG # 12","63 km"""
GLIG19-GLIG09                ,14.0134749,107.6404002,13.97613,107.88251," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLIG19-GLIG09 - CSG # 33","84 km"""
GLDP07-GLDP11                ,13.96895,108.48206,13.93478,108.60108," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDP07-GLDP11 - CSG # 17","7 km"""
GLDP11-GLDP09                ,13.93478,108.60108,13.963024,108.6333436," ""11/2024/HĐDV/MOBIFONE-CMC - Cap thue GLDP11-GLDP09 - CSG # 8","16 km"""
