Province,Name,Lat,Lon
Bình Định,2628-BD001,13.795563,109.208394
Bình Định,2628-BD002,13.83965,109.267939
Bình Định,2628-BD003,13.79497818,109.1633013
Bình Định,2628-BD004,13.763661,109.21281
Bình Định,2628-BD005,13.69423984,109.1760951
Bình Định,2628-BD006,14.65459922,109.0078914
Bình Định,2628-BD007,13.852477,109.073686
Bình Định,2628-BD008,13.943028,109.24034
Bình Định,2628-BD009,14.5692941,109.0146017
Bình Định,2628-BD010,13.552673,109.019891
Bình Định,2628-BD011,14.258113,109.016028
Bình Định,2628-BD012,14.32091976,108.9792546
Bình Định,2628-BD013,13.76266784,109.1245443
Bình Định,2628-BD014,13.827877,109.093917
Bình Định,2628-BD015,13.76969,109.225913
Bình Định,2628-BD016,13.920345,109.091889
Bình Định,2628-BD017,14.305745,109.073001
Bình Định,2628-BD018,13.881334,109.249515
Bình Định,2628-BD019,13.80552801,109.2141617
Bình Định,2628-BD020,13.61201,108.998212
Bình Định,2628-BD021,13.724996,109.128527
Bình Định,2628-BD022,14.264902,109.078623
Bình Định,2628-BD023,14.13546341,109.202426
Bình Định,2628-BD024,14.16990461,109.0304683
Bình Định,2628-BD025,13.89778134,109.1921695
Bình Định,2628-BD026,13.856864,109.200017
Bình Định,2628-BD027,13.879231,109.192519
Bình Định,2628-BD028,13.768175,109.203343
Bình Định,2628-BD029,13.88763291,109.2493063
Bình Định,2628-BD030,13.815179,109.146333
Bình Định,2628-BD031,13.760425,109.208827
Bình Định,2628-BD032,13.781149,109.224704
Bình Định,2628-BD033,13.85279614,109.1891601
Bình Định,2628-BD034,13.80966607,109.1631955
Bình Định,2628-BD035,13.81446164,109.1887677
Bình Định,2628-BD036,13.90339665,109.0331516
Bình Định,2628-BD037,13.836193,109.215076
Bình Định,2628-BD038,13.773006,109.232442
Bình Định,2628-BD040,13.88617694,109.1206144
Bình Định,2628-BD041,13.8884,109.27199
Bình Định,2628-BD042,13.792809,109.105869
Bình Định,2628-BD043,13.728969,109.159852
Bình Định,2628-BD044,13.734306,109.116496
Bình Định,2628-BD045,13.779976,109.157708
Bình Định,2628-BD046,13.766421,109.160899
Bình Định,2628-BD047,13.788917,109.158487
Bình Định,2628-BD048,13.794913,109.148399
Bình Định,2628-BD049,13.790911,109.174762
Bình Định,2628-BD050,13.779438,109.185038
Bình Định,2628-BD051,13.780819,109.190075
Bình Định,2628-BD052,13.777762,109.201444
Bình Định,2628-BD053,13.752156,109.206929
Bình Định,2628-BD054,13.677425,109.233207
Bình Định,2628-BD055,13.767449,109.214081
Bình Định,2628-BD056,13.771963,109.217375
Bình Định,2628-BD057,13.774566,109.219243
Bình Định,2628-BD058,13.766227,109.209077
Bình Định,2628-BD059,13.902961,109.259271
Bình Định,2628-BD060,13.852395,109.273305
Bình Định,2628-BD061,13.785248,109.211056
Bình Định,2628-BD062,13.848365,109.135873
Bình Định,2628-BD063,13.84028,109.153943
Bình Định,2628-BD064,13.833963,109.166844
Bình Định,2628-BD065,13.868072,109.136959
Bình Định,2628-BD066,13.830309,109.143747
Bình Định,2628-BD067,13.953211,109.135108
Bình Định,2628-BD068,13.851087,109.02211
Bình Định,2628-BD069,13.866497,108.996079
Bình Định,2628-BD070,14.00584411,109.0078576
Bình Định,2628-BD071,14.111896,109.198074
Bình Định,2628-BD072,13.997975,109.245405
Bình Định,2628-BD073,14.072474,109.211135
Bình Định,2628-BD074,14.180606,109.18102
Bình Định,2628-BD075,14.251991,109.186329
Bình Định,2628-BD077,14.35132,109.119654
Bình Định,2628-BD079,14.178118,109.053873
Bình Định,2628-BD080,14.11961,109.033444
Bình Định,2628-BD082,14.144222,109.029256
Bình Định,2628-BD083,14.292183,109.037473
Bình Định,2628-BD084,14.425425,109.113746
Bình Định,2628-BD085,14.402998,109.120384
Bình Định,2628-BD086,14.43443,109.117009
Bình Định,2628-BD087,14.49498,109.086956
Bình Định,2628-BD088,14.504507,109.084466
