Name,Lat,Lon,Site ID,Type,Priority
DNTK10,16.07129,108.18794,,CSG,2
DNTK12,16.07002,108.21181,,CSG,2
DNTK13,16.071265,108.200369,,CSG,2
DNTK14,16.06531,108.20105,,CSG,2
DNTK17,16.06821,108.21302,,CSG,2
DNTK23,16.06843,108.19952,,CSG,2
DNTK26,16.05043,108.18414,,CSG,2
DNTK27,16.057,108.210139,,CSG,2
DNTK34,16.05556,108.18676,,CSG,2
DNTK36,16.06404,108.18288,,CSG,2
DNTK41,16.0673,108.20425,,CSG,2
DNTK45,16.06447,108.20682,,CSG,2
DNTK46,16.06104,108.21367,,CSG,2
QTCL02,16.74525,106.9641,,CSG,2
QTCL03,16.7874,106.91548,,CSG,2
QTCL06,16.74963,106.92699,,CSG,2
QTCL08,16.82654,107.00301,,CSG,2
QTCL09,16.79332,106.96828,,CSG,2
QTCL12,16.84258,107.0819,,CSG,2
QTCL13,16.80421,107.04357,,CSG,2
QTCL18,16.82524,106.98037,,CSG,2
QTDH04,16.79761,107.083631,,CSG,2
QTDH05,16.81154,107.09687,,CSG,2
QTDH07,16.817106,107.087282,,CSG,2
QTDH08,16.80622,107.10414,,CSG,2
QTDH09,16.81988,107.090958,,CSG,2
QTDH10,16.81659,107.07734,,CSG,2
QTDH12,16.82048,107.1047,,CSG,2
QTDH17,16.81484,107.10338,,CSG,2
QTDH19,16.813592,107.088038,,CSG,2
QTDH21,16.811034,107.111175,,CSG,2
QTDH22,16.81525,107.09581,,CSG,2
QTDH27,16.80727,107.09889,,CSG,2
QTDH29,16.82334,107.10548,,CSG,2
QTDH30,16.80997,107.10622,,CSG,2
QTDH31,16.82874,107.09627,,CSG,2
QTDH32,16.80418,107.11417,,CSG,2
QTDH34,16.78303,107.11045,,CSG,2
QTDH35,16.80033,107.10853,,CSG,2
QTDH36,16.8189,107.09815,,CSG,2
QTDH50,16.791779,107.090522,,CSG,2
QTGL03,16.91624,107.17423,,CSG,2
QTGL04,16.89502,106.99186,,CSG,2
QTGL05,16.88782,107.08068,,CSG,2
QTGL07,16.87479,107.13379,,CSG,2
QTGL08,16.92266,107.00392,,CSG,2
QTGL10,16.92644,107.05021,,CSG,2
QTGL12,16.97785,107.09966,,CSG,2
QTGL13,16.90969,107.12424,,CSG,2
QTGL15,16.96674,107.13804,,CSG,2
QTGL25,16.892,107.15929,,CSG,2
QTGL44,16.9664,107.06918,,CSG,2
QTHL03,16.70894,107.26223,,CSG,2
QTHL05,16.73364,107.20556,,CSG,2
QTHL06,16.66435,107.27957,,CSG,2
QTHL10,16.72602,107.33658,,CSG,2
QTHL12,16.7409,107.19352,,CSG,2
QTHL14,16.70495,107.22144,,CSG,2
QTHL17,16.7426,107.2784,,CSG,2
QTHL19,16.75345,107.2156,,CSG,2
QTHL20,16.798763,107.30465,,CSG,2
